"publisherName","gameName","foundedBy","foundedDate"
"Capcom Co. Ltd.","Operation Raccoon City","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil:","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil: Resistance","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil: Revelations","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil: Revelations 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil:","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","The Darkside Chronicles","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","The Umbrella Chronicles","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil:","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 3","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 4","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 5","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 6","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil 7: Biohazard","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil Outbreak: File #2","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil Survivor 2 – Code: Veronica","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil Village","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Resident Evil Zero","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Enlight Software","Restaurant Empire","http://dbpedia.org/resource/Trevor_Chan",1993-01-01
"Devolver Digital Inc.","Return to Monkey Island","http://dbpedia.org/resource/Mike_Wilson_(executive)",2009-01-01
"Ubisoft Entertainment SA","Riders Republic","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Ubisoft Entertainment SA","Risk","http://dbpedia.org/resource/Yves_Guillemot",1986-01-01
"Capcom Co. Ltd.","Rival Schools: United by Fate","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Ultimate Ghosts 'n Goblins","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Ultimate Marvel vs. Capcom 3","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Ultra Street Fighter II: The Final Challengers","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Umbrella Corps","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
"Capcom Co. Ltd.","Under the Skin","http://dbpedia.org/resource/Kenzo_Tsujimoto",1979-01-01
