"publisherName","game","gameName"
"Capcom","http://dbpedia.org/resource/Mega_Man_X:_Command_Mission","Mega Man X: Command Mission"
"Capcom","http://dbpedia.org/resource/Mega_Man_Xtreme","Mega Man Xtreme"
"Capcom","http://dbpedia.org/resource/Mega_Man_Xtreme_2","Mega Man Xtreme 2"
"Capcom","http://dbpedia.org/resource/Mega_Man_ZX","Mega Man ZX"
"Capcom","http://dbpedia.org/resource/Mega_Man_ZX_Advent","Mega Man ZX Advent"
"Capcom","http://dbpedia.org/resource/Mega_Man_Zero_(video_game)","Mega Man Zero (video game)"
"Capcom","http://dbpedia.org/resource/Mega_Man_Zero_2","Mega Man Zero 2"
"Capcom","http://dbpedia.org/resource/Mega_Man_Zero_3","Mega Man Zero 3"
"Capcom","http://dbpedia.org/resource/Mega_Man_Zero_4","Mega Man Zero 4"
"Capcom","http://dbpedia.org/resource/Mega_Man_Zero_Collection","Mega Man Zero Collection"
"Capcom","http://dbpedia.org/resource/Mega_Man:_Battle_&_Chase","Mega Man: Battle & Chase"
"Capcom","http://dbpedia.org/resource/Mega_Man:_Dr._Wily's_Revenge","Mega Man: Dr. Wily's Revenge"
"Capcom","http://dbpedia.org/resource/Mega_Man:_The_Power_Battle","Mega Man: The Power Battle"
"Capcom","http://dbpedia.org/resource/Mega_Man:_The_Wily_Wars","Mega Man: The Wily Wars"
"Capcom","http://dbpedia.org/resource/Mercs","Mercs"
"Capcom","http://dbpedia.org/resource/Metal_Walker","Metal Walker"
"Capcom","http://dbpedia.org/resource/Mighty_Final_Fight","Mighty Final Fight"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_(video_game)","Monster Hunter (video game)"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_2","Monster Hunter 2"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_4","Monster Hunter 4"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Diary","Monster Hunter Diary"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Dynamic_Hunting","Monster Hunter Dynamic Hunting"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Freedom","Monster Hunter Freedom"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Freedom_2","Monster Hunter Freedom 2"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Freedom_Unite","Monster Hunter Freedom Unite"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Frontier_Online","Monster Hunter Frontier Online"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Generations","Monster Hunter Generations"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Hunting_Card","Monster Hunter Hunting Card"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Portable_3rd","Monster Hunter Portable 3rd"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Rise","Monster Hunter Rise"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Stories_2:_Wings_of_Ruin","Monster Hunter Stories 2: Wings of Ruin"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_Tri","Monster Hunter Tri"
"Capcom","http://dbpedia.org/resource/Monster_Hunter_World:_Iceborne","Monster Hunter World: Iceborne"
"Capcom","http://dbpedia.org/resource/Monster_Hunter:_Frontier_G","Monster Hunter: Frontier G"
"Capcom","http://dbpedia.org/resource/Monster_Hunter:_World","Monster Hunter: World"
"Capcom","http://dbpedia.org/resource/MotoGP_'07_(PS2)","MotoGP '07 (PS2)"
"Capcom","http://dbpedia.org/resource/MotoGP_'08","MotoGP '08"
"Capcom","http://dbpedia.org/resource/MotoGP_09/10","MotoGP 09/10"
"Capcom","http://dbpedia.org/resource/MotoGP_10/11","MotoGP 10/11"
"Capcom","http://dbpedia.org/resource/Nemo_(arcade_game)","Nemo (arcade game)"
"Capcom","http://dbpedia.org/resource/Neopets_Puzzle_Adventure","Neopets Puzzle Adventure"
"Capcom","http://dbpedia.org/resource/Night_Warriors:_Darkstalkers'_Revenge","Night Warriors: Darkstalkers' Revenge"
"Capcom","http://dbpedia.org/resource/One_Piece_Mansion","One Piece Mansion"
"Capcom","http://dbpedia.org/resource/Onimusha_2:_Samurai's_Destiny","Onimusha 2: Samurai's Destiny"
"Capcom","http://dbpedia.org/resource/Onimusha_3:_Demon_Siege","Onimusha 3: Demon Siege"
"Capcom","http://dbpedia.org/resource/Onimusha_Blade_Warriors","Onimusha Blade Warriors"
"Capcom","http://dbpedia.org/resource/Onimusha_Tactics","Onimusha Tactics"
"Capcom","http://dbpedia.org/resource/Onimusha:_Dawn_of_Dreams","Onimusha: Dawn of Dreams"
"Capcom","http://dbpedia.org/resource/Onimusha:_Warlords","Onimusha: Warlords"
"Capcom","http://dbpedia.org/resource/P.N.03","P.N.03"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney","Phoenix Wright: Ace Attorney"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney_–_Trials_and_Tribulations","Phoenix Wright: Ace Attorney – Trials and Tribulations"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney_Trilogy","Phoenix Wright: Ace Attorney Trilogy"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney_–_Dual_Destinies","Phoenix Wright: Ace Attorney – Dual Destinies"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney_–_Justice_for_All","Phoenix Wright: Ace Attorney – Justice for All"
"Capcom","http://dbpedia.org/resource/Phoenix_Wright:_Ace_Attorney_–_Spirit_of_Justice","Phoenix Wright: Ace Attorney – Spirit of Justice"
